HL_HFE,HL_KFE,FL_HFE,FL_KFE,HR_HFE,HR_KFE,FR_HFE,FR_KFE
-58.38516262473204,97.17735549341185,56.70112698141183,-88.0653073657146,-41.657451113202306,89.79034068818657,45.67307278008085,-90.19846865888334
-57.47737083663299,96.01233956368338,56.84057213326468,-87.9931841878122,-41.45718173949666,89.75775609285039,45.86110202887122,-90.20538053183076
-56.56979344036579,94.83405771952155,56.97917354179833,-87.91987216257348,-41.25639002028883,89.72398652032867,46.04852322304838,-90.21110751453276
-55.66199877551733,93.6420903019605,57.11692818207973,-87.84537100707533,-41.055079639141006,89.68903194939266,46.235332534947965,-90.21564960575887
-54.75354677798196,92.43598547134755,57.25383304720906,-87.76968042378404,-40.85325426692834,89.65289235590059,46.421526137195634,-90.2190068044911
-53.84398733252114,91.21525666101115,57.389885148274,-87.69280010006413,-40.65091756129403,89.61556771257325,46.60710020319845,-90.22117910995308
-52.93285847247989,89.9793797066637,57.52508151429269,-87.61472970767842,-40.44807316610377,89.57705798876196,46.792050907631996,-90.22216652163164
-52.5209553994827,89.5900262410128,58.20229940172904,-88.39170217972355,-40.24472471090024,89.53736315020878,46.97637442692376,-90.22196903929066
-52.358686775047126,89.62814093437292,59.149512237791434,-89.5829661164827,-40.04087581035752,89.49648315879917,47.16006693973185,-90.22058666297751
-52.195672155089746,89.66507055785435,60.09557118766875,-90.75834863502337,-39.836530063735175,89.4544179723069,47.343124627419336,-90.21801939302175
-52.03191508442748,89.70081514095634,61.04092178302124,-91.9183418512084,-39.631691054332926,89.41116754413132,47.52554367452421,-90.21426723002617
-51.86741912204276,89.7353747098869,61.98599616087724,-93.06340002534188,-39.42636234894512,89.36673182302691,47.70732026922436,-90.20933017485046
-51.70218784080729,89.76874928779222,62.93121467633439,-94.19394236980098,-39.220547497315756,89.32111075282513,47.8884506037977,-90.2032082285871
-51.53622482719705,89.80093889497863,63.87698735145146,-95.31035553859233,-39.014250031593846,89.2743042721486,48.06893087507741,-90.19590139252958
-51.36953368099935,89.8319435491268,64.10404556859369,-96.84143085372145,-38.807473465789364,89.22631231411741,48.2487572849018,-90.18740966813327
-51.20211801501146,89.86176326549838,64.2993702513418,-98.3435995962049,-38.600221295229616,89.1771348060479,48.42792604055895,-90.17773305696845
-51.03398145473117,89.89039805713496,64.46267554501459,-99.81759617137689,-38.39249699601652,89.12677166914338,48.606433355225946,-90.16687156066588
-50.86512763803957,89.91784793504942,64.59359798394337,-101.26405346172247,-38.18430402448451,89.0752228181774,48.78427544840236,-90.15482518085473
-50.695560214875684,89.9441129084097,64.69169985334065,-102.68350987984158,-37.97564581665945,89.02248816116888,48.961448546337955,-90.14159391909286
-50.525282846903615,89.96919298471491,64.75647214907536,-104.07641534577938,-37.76652578771828,88.9685675990497,49.13794888245479,-90.12717777678954
-50.35429920717201,89.99308816996385,64.23822316541036,-105.15672575597023,-37.5569473314498,88.91346102532422,49.31377269776285,-90.11157675512065
-50.182612979765956,90.01579846881593,62.5616092623721,-105.58989810709916,-37.34691381971666,88.85716832572103,49.48891624126977,-90.09479085493614
-50.01022785945153,90.03732388474445,60.81470573550799,-105.9241556299964,-37.13642860191824,88.79968937783676,49.66337577038436,-90.07682007665991
-49.837147551313286,90.05766442018226,59.00135055730696,-106.15902177460045,-36.92549500445493,88.74102405077198,49.83714755131327,-90.05766442018226
-49.66337577038436,90.07682007665991,57.125649302328775,-106.2941496655295,-36.714116330193704,88.68117220475916,50.010227859451525,-90.03732388474445
-49.48891624126978,90.09479085493614,55.191927051768836,-106.32933518919097,-36.50229585793486,88.62013369078247,50.182612979765956,-90.01579846881593
-49.313772697762836,90.11157675512065,53.20467274298602,-106.26452464957775,-36.29003684188038,88.55790835018978,50.35429920717202,-89.99308816996385
-49.13794888245479,90.12717777678954,51.545742852210246,-105.41058038158542,-36.077342511103524,88.4944960142964,50.52528284690363,-89.96919298471491
-48.96144854633796,90.14159391909286,50.07528496297666,-104.17244727035404,-35.864216069020046,88.42989650398079,50.695560214875684,-89.9441129084097
-48.78427544840237,90.15482518085473,48.61341984089605,-102.90669238175192,-35.65066069286087,88.36410962927211,50.86512763803956,-89.91784793504942
-48.60643335522595,90.16687156066588,47.1594472529032,-101.6131396523479,-35.43667953314631,88.2971351889295,51.033981454731176,-89.89039805713496
-48.427926040558944,90.17773305696845,45.712629975473014,-100.29154009158907,-35.22227571316198,88.22897297001326,51.20211801501146,-89.86176326549838
-48.2487572849018,90.18740966813327,44.27219419602127,-98.94156762857514,-35.00745232843619,88.1596227474475,51.369533680999346,-89.8319435491268
-48.06893087507742,90.19590139252958,42.83732924715579,-97.56281434014903,-34.792212446219075,88.08908428357469,51.53622482719707,-89.80093889497863
-47.88845060379771,90.2032082285871,42.50461644073535,-96.40213235569867,-34.576559104963366,88.01735732770153,51.7021878408073,-89.76874928779222
-47.70732026922437,90.20933017485046,42.159327779740394,-95.22831759031371,-34.36049531380686,87.94444161563663,51.86741912204275,-89.7353747098869
-47.52554367452423,90.21426723002617,41.801439144067025,-94.04096059628387,-34.144024052056444,87.8703368692194,52.031915084427474,-89.70081514095634
-47.343124627419336,90.21801939302175,41.43090298777891,-92.83962052896902,-33.92714826867412,87.79504279584046,52.195672155089746,-89.66507055785435
-47.16006693973184,90.22058666297751,41.04764740620983,-91.62382269942418,-33.709870881764274,87.71855908795338,52.358686775047126,-89.62814093437292
-46.976374426923776,90.22196903929066,40.65157502833628,-90.3930558167096,-33.49219477806307,87.64088542257765,52.52095539948271,-89.5900262410128
-46.792050907631996,90.22216652163164,40.448073166103775,-89.57705798876196,-33.45661099746628,87.99099409692104,52.68247449801297,-89.55072644474623
-46.607100203198435,90.22117910995308,40.65091756129404,-89.61556771257325,-33.77630983793769,89.18766819089468,52.84324055494713,-89.5102415087722
-46.42152613719565,90.2190068044911,40.853254266928325,-89.65289235590059,-34.081750282962815,90.36828787895747,53.003250069537444,-89.46857139226381
-46.235332534947965,90.21564960575887,41.05507963914101,-89.68903194939266,-34.37301918597973,91.5333585808717,53.162499556221064,-89.42571605010825
-46.048523223048385,90.21110751453276,41.25639002028884,-89.72398652032867,-34.65017763976612,92.68334684654052,53.32098554485265,-89.38167543263881
-45.861102028871215,90.20538053183076,41.45718173949666,-89.75775609285039,-34.91326228722427,93.81868327952539,53.4787045809281,-89.33644948535934
-45.67307278008083,90.19846865888334,41.657451113202306,-89.79034068818657,-35.16228645767177,94.93976512796081,53.63565322579919,-89.29003814866097
-45.48443930413645,90.19037189709678,41.85719444570109,-89.82174032486981,-36.180240201681706,96.33432360049818,53.79182805687886,-89.24244135753108
-45.295205427793334,90.18109024800872,42.05640802969002,-89.85195501894556,-37.59043205165476,97.84604102678979,53.94722566783735,-89.19365904125455
-45.10537497660028,90.17062371323627,42.25508814681098,-89.88098478417383,-39.00528342937214,99.32935314703963,54.10184266878872,-89.14369112310717
-44.91495177439384,90.15897229441651,42.45323106819329,-89.90882963222292,-40.425843618653126,100.78492584277917,54.25567568646823,-89.09253752004146
-44.723939642789226,90.14613599313928,42.6508330549953,-89.93548957285581,-41.85313490651079,102.21332830282874,54.408721364399874,-89.04019814236447
-44.53234240066803,90.13211481087244,42.847890358944895,-89.9609646141088,-43.28815540941307,103.61503934020213,54.560976363054294,-88.9866728934078
-44.340163863663115,90.11690874887955,43.04439922287873,-89.98525476246256,-44.73188115992536,104.99045274171816,54.71243735999703,-88.93196166919002
-44.1474078436405,90.10051780812996,43.240355881280344,-90.00836002300551,-46.8885234269503,105.45647091421849,54.86310105002707,-88.87606435807076
-43.95407814817878,90.08294198920119,43.43575656081653,-90.03028039958974,-49.01012473090715,105.82375892343757,55.0129641453053,-88.81898084039743
-43.760178580045796,90.06418129217381,43.63059748087234,-90.05101589497926,-51.09218369060846,106.09180079266693,55.16202337547307,-88.76071098814354
-43.56571293667307,90.0442357165187,43.82487485408423,-90.07056651099049,-53.13010235415598,106.26020470831197,55.31027548776087,-88.70125466453943
-43.37068500962795,90.02310526097676,44.018584886871324,-90.0889322486254,-55.11925158694723,106.32871784478468,55.45771724708668,-88.64061172369476
-43.175098584083564,90.00078992343082,44.21172377996479,-90.10611310819685,-57.0550373792059,106.29723586205553,55.60434543614436,-88.57878201021315
